display  D   display_settings.c:227  _al_score_display_settings       [  -0.01598] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01596] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01593] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01591] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01589] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01587] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01585] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01583] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01580] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01578] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01576] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01573] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01569] Vsync requirement not met.
